idRestaurants,Name,Address,City,State,Zip,DESCRIPTION,Location,Phone
17,ABE & LOUIE'S,793 Boylston,Boston,MA,2116,Eating & Drinking,"(42.34924, -71.0816)",16175364200
18,Adams B & B,12 Edgerly,Boston,MA,2115,Eating & Drinking,"(42.34606, -71.08786)",16172672262
19,AFC Sushi @ Shaw's #586,4 River,Mattapan,MA,2108,Eating & Drinking w/ Take Out,"(42.271841, -71.069999)",16172981462
20,Supreme House of Pizza,309 Old Colony,South Boston,MA,2127,Eating & Drinking w/ Take Out,"(42.32969, -71.05287)",18572656250
21,Hot Eastern,40 Harrison,Boston,MA,2111,Eating & Drinking,"(42.351664, -71.060968)",19176820038
22,THAI DISH RESTAURANT,270 Babcock,Boston,MA,2215,Eating & Drinking,"(42.352661, -71.121837)",17817560671
23,Jook Sing Cafe,177 Harrison,Boston,MA,2111,Eating & Drinking w/ Take Out,"(42.349154, -71.062307)",10004262828
24,Beantown Pho & Grill,272 Newbury,Boston,MA,2116,Eating & Drinking,"(42.34912, -71.08342)",16174709940
25,AFC Sushi @ Walgreens #15390,10 School,Boston,MA,2108,Eating & Drinking w/ Take Out,"(42.357327, -71.058968)",10000000000
26,AFC SUSHI @SIMMONS COLLEGE,300 Fenway,Boston,MA,2115,Eating & Drinking,"(42.33931, -71.09996)",16173649375
27,AL CAPONE,80 Summer,Boston,MA,2110,Eating & Drinking w/ Take Out,"(42.35402, -71.05813)",10000000000
28,AL DENTE RISTORANTE,109 Salem,Boston,MA,2113,Eating & Drinking,"(42.36421, -71.05536)",16175230990
29,ALEX PIZZA,1252 Washington,Roxbury,MA,2118,Eating & Drinking w/ Take Out,"(42.342301, -71.067378)",16178339626
30,ALFREDO'S ITALIAN KITCHEN,243 Dorchester,South Boston,MA,2127,Eating & Drinking w/ Take Out,"(42.332855, -71.051318)",16174581231
31,ALI ROTI RESTAURANT,1035 Tremont,Mission Hill,MA,2120,Eating & Drinking w/ Take Out,"(42.33666, -71.08563)",16172989850
32,Alibi,215 Charles,Boston,MA,2114,Eating & Drinking,"(42.36203, -71.070362)",18572411144
33,ALLIS ROTI + MEAT MARKET,1188 Blue Hill,Mattapan,MA,2126,Eating & Drinking w/ Take Out,"(42.28377, -71.09129)",16172989850
34,Allston Diner,417 Cambridge,Allston,MA,2134,Eating & Drinking,"(42.355123, -71.134062)",16172088741
35,Al's South St. Express,179 Essex,Boston,MA,2111,Eating & Drinking w/ Take Out,"(42.352051, -71.057585)",10000000000
36,Al-Wadi Restaurant,1249 VFW,West Roxbury,MA,2132,Eating & Drinking,"(42.27724, -71.17261)",16173233236
37,AMC Theatres Boston Common 19,175 Tremont,Boston,MA,2111,Eating & Drinking w/ Take Out,"(42.35315, -71.06403)",18164805862
38,Amelia's Taqueria,180 Brighton,Allston,MA,2134,Eating & Drinking w/ Take Out,"(42.353014, -71.133631)",16177877672
39,Americano Espresso Bar,155 Meridian,East Boston,MA,2128,Eating & Drinking w/ Take Out,"(42.373853, -71.038885)",16175938079
40,Amici,111 Washington,Boston,MA,2113,Eating & Drinking,"(42.365582, -71.058131)",16177422998
41,AMSTERDAM CAFE,483 Broadway,South Boston,MA,2127,Eating & Drinking w/ Take Out,"(42.335274, -71.04559)",16174646488
42,AN TAIN,31 India,Boston,MA,2110,Eating & Drinking,"(42.35823, -71.05315)",17815368136
43,ANDREW SQUARE HOUSE OF PIZZA,395 Dorchester,South Boston,MA,2127,Eating & Drinking w/ Take Out,"(42.33003, -71.05655)",16172681940
44,Angela's Cafe,131 Lexington,East Boston,MA,2128,Eating & Drinking w/ Take Out,"(42.37853, -71.035)",10000000000
45,ANH HONG RESTAURANT  LLC,291 Adams,Dorchester,MA,2122,Eating & Drinking,"(42.299183, -71.05818)",16172658889
46,Anna Hand Cut Donuts,2056 Centre,West Roxbury,MA,2132,Eating & Drinking,"(42.280014, -71.158191)",16173232680
47,Anna's Taqueria,242 Cambridge,Boston,MA,2114,Eating & Drinking,"(42.36093, -71.0671)",16172278822
48,Anshur Restauruant,291 Roxbury,Roxbury,MA,2119,Eating & Drinking w/ Take Out,"(42.33041, -71.0943)",16174270599
49,ANTHONY'S CAFE,252 Commercial,Boston,MA,2109,Eating & Drinking w/ Take Out,"(42.36399, -71.05137)",16177422987
50,ANTICO FORNO,93 Salem,Boston,MA,2113,Eating & Drinking,"(42.363742, -71.055591)",16177428441
51,ANTONIO'S ITALIANO CUCINA,286 Cambridge,Boston,MA,2114,Eating & Drinking,"(42.360951, -71.06816)",16173673310
52,APPLEBEE'S NEIGHBORHOOD GRILL,11A Allstate,Dorchester,MA,2125,Eating & Drinking,"(42.326047, -71.063611)",16174427139
53,Appleton Bakery & Cafe,75 Dartmouth,Boston,MA,2116,Eating & Drinking w/ Take Out,"(42.345259, -71.074714)",16178598222
54,ARAMARK @ SULLIVAN & WORCESTER,1 Post Office,Boston,MA,2109,Eating & Drinking,"(42.356797, -71.054981)",15082231929
55,Aramark at Houghton Mifflin,222 Berkeley,Boston,MA,2116,Eating & Drinking,"(42.35084, -71.07311)",16173513020
56,Arboretum Grill,4021 Washington,Roslindale,MA,2131,Eating & Drinking,"(42.29201, -71.12244)",16173239100
57,ARCHIE'S NEW YORK DELI,93 Arch,Boston,MA,2110,Eating & Drinking w/ Take Out,"(42.355042, -71.059128)",16173305145
58,Archie's Place,227 Washington,Boston,MA,2108,Eating & Drinking w/ Take Out,"(42.357884, -71.058215)",16177233354
59,Aria Trattoria,253 Hanover,Boston,MA,2113,Eating & Drinking,"(42.363223, -71.054789)",16177421276
60,Arizona B B Q,2360 Washington,Roxbury,MA,2119,Eating & Drinking w/ Take Out,"(42.32937, -71.08446)",16174422999
61,ARTU,89 Charles,Boston,MA,2114,Eating & Drinking,"(42.35859, -71.07049)",16177424336
62,ASAKI,418 Market,Brighton,MA,2135,Eating & Drinking w/ Take Out,"(42.349342, -71.153159)",16175626333
63,Ashburton Cafe,1 Ashburton,Boston,MA,2114,Eating & Drinking,"(42.359276, -71.062359)",16177994625
64,ASHMONT GRILL,555 Talbot,Dorchester,MA,2124,Eating & Drinking,"(42.286091, -71.064728)",18254300000
65,Asia Wok,44 Harvard,Allston,MA,2134,Eating & Drinking w/ Take Out,"(42.354462, -71.13227)",16172545445
66,Asian House,99 Cambridge,Charlestown,MA,2129,Eating & Drinking w/ Take Out,"(42.38254, -71.0792)",17818546253
67,ASIAN THAI EATERY INC.,1064 River,Hyde Park,MA,2136,Eating & Drinking,"(42.258784, -71.117741)",16173614448
68,ASSAGGIO RESTAURANT,25 Prince,Boston,MA,2113,Eating & Drinking,"(42.364563, -71.05416)",10003958805
69,Asta,47 Massachusetts,Boston,MA,2115,Eating & Drinking,"(42.349818, -71.089268)",16178234664
70,ATLANTIC FISH COMPANY,761 Boylston,Boston,MA,2116,Eating & Drinking,"(42.34935, -71.08121)",16175364200
71,ATRIUM CAFE/HARVARD MED.SCHOOL,260 Longwood,Boston,MA,2115,Eating & Drinking,"(42.336981, -71.10415)",16174326169
72,Au Bon Pain,101 Merrimac,Boston,MA,2114,Eating & Drinking w/ Take Out,"(42.36384, -71.06166)",16178975079
73,Au Bon Pain,17 Blackfan,Boston,MA,2115,Eating & Drinking w/ Take Out,"(42.337388, -71.106281)",16175616020
74,Au Bon Pain,431 Boylston,Boston,MA,2116,Eating & Drinking w/ Take Out,"(42.35161, -71.07284)",16178975079
75,Au Bon Pain,53 State,Boston,MA,2109,Eating & Drinking w/ Take Out,"(42.35875, -71.056199)",16178975079
76,Au Bon Pain,75 FRANCIS,Boston,MA,2115,Eating & Drinking w/ Take Out,"(42.336106, -71.10748)",16178975079
77,Au Bon Pain,800 Washington,Boston,MA,2111,Eating & Drinking w/ Take Out,"(42.349591, -71.063586)",16178975072
78,Avana Sushi II,58 Franklin,Boston,MA,2110,Eating & Drinking,"(42.355795, -71.058451)",16174238868
79,eat @ Corner Cafe,502 Massachusetts,Roxbury,MA,2118,Eating & Drinking w/ Take Out,"(42.3393, -71.07995)",16175369700
80,Bright-Landry Arena Briggs Cafe,65 Harvard,Allston,MA,2163,Eating & Drinking w/ Take Out,"(42.367592, -71.125878)",10000000000
81,MOBIDICK,269 Huntington,Boston,MA,2115,Eating & Drinking w/ Take Out,"(42.342178, -71.08624)",16172565511
82,SUFFOLK UNIV. SOMERSET CAFE,10 Somerset,Boston,MA,2114,Eating & Drinking,"(42.35878, -71.06183)",10003052896
83,SRV,434 Massachusetts,Roxbury,MA,2118,Eating & Drinking,"(42.34088, -71.08181)",16173088607
84,Villa Mexico Cafe,41 Broad,Boston,MA,2109,Eating & Drinking w/ Take Out,"(42.35818, -71.05438)",16179570725
85,Spicy World,7 Beach,Boston,MA,2111,Eating & Drinking,"(42.35137, -71.06236)",16176397188
86,Suya Joint,185 Dudley,Roxbury,MA,2119,Eating & Drinking,"(42.32832, -71.08196)",15084466746
87,Au Bon Pain (Joslin Pl.),1 Joslin,Boston,MA,2215,Eating & Drinking w/ Take Out,"(42.3386, -71.108501)",16174232100
88,Au Bon Pain Kiosk@Childrens Museum,308 Congress,Boston,MA,2210,Eating & Drinking,"(42.351967, -71.049777)",16178975079
89,Au Bon Pain Outdoor Cafe,310 Congress,South Boston,MA,2127,Eating & Drinking w/ Take Out,"(42.355105, -71.049245)",16178975079
90,Au Bon Pain Store 511,640 Atlantic,Boston,MA,2110,Eating & Drinking w/ Take Out,"(42.350021, -71.055941)",16178975079
91,Audubon,838 Beacon,Boston,MA,2215,Eating & Drinking,"(42.34741, -71.10321)",16174211910
92,AUNTIE VIE'S BAKERY & CAFE,480 Washington,Dorchester,MA,2124,Eating & Drinking w/ Take Out,"(42.29469, -71.07168)",19788213519
93,Aurum,377 Centre,Jamaica Plain,MA,2130,Eating & Drinking,"(42.322376, -71.109129)",16175223377
94,Avana Express Bar,40 Harrison,Boston,MA,2111,Eating & Drinking w/ Take Out,"(42.351624, -71.061017)",19173531653
95,Avana Market Place,40 Harrison,Boston,MA,2111,Eating & Drinking w/ Take Out,"(42.351664, -71.060968)",16174263331
96,Azama Grill,44 Harvard,Allston,MA,2134,Eating & Drinking w/ Take Out,"(42.354462, -71.13227)",16174477646
97,B & G OYSTERS LTD.,550 Tremont,Roxbury,MA,2116,Eating & Drinking,"(42.343895, -71.071263)",16174230550
98,B C High School (Faculty Food Serv.),150 William T Morrissey,Dorchester,MA,2125,Eating & Drinking,"(42.316565, -71.046878)",16174363900
99,B Good Burger,1068 Boylston,Boston,MA,2215,Eating & Drinking,"(42.346999, -71.087817)",15088782766
100,B Good Burger,227 Washington,Boston,MA,2108,Eating & Drinking,"(42.357884, -71.058215)",15088782766
101,B. Good,131 Dartmouth,Boston,MA,2116,Eating & Drinking,"(42.34682, -71.07543)",16174245252
102,B. Good,84 Summer,Boston,MA,2110,Eating & Drinking,"(42.353955, -71.05802)",15088782766
103,B. U. Einsteins Bagels,685 Commonwealth,Boston,MA,2215,Eating & Drinking w/ Take Out,"(42.350117, -71.104278)",16173532947
104,The Friendly Toast,35 Stanhope,Boston,MA,2116,Eating & Drinking,"(42.34851, -71.07325)",16179019990
105,Boston Common Coffee Co.,97 Salem,Boston,MA,2113,Eating & Drinking w/ Take Out,"(42.363853, -71.055523)",16177250040
106,B.U. WEST CAMPUS,278 Babcock,Allston,MA,2134,Eating & Drinking,"(42.3532, -71.1221)",16173532947
107,BACCO RISTORANTE & BAR,107 Salem,Boston,MA,2113,Eating & Drinking,"(42.36418, -71.05538)",16176292622
108,Back Bay Harry's,142 Berkeley,Boston,MA,2116,Eating & Drinking,"(42.348822, -71.072098)",10000000000
109,Back Bay Sandwich,31 Saint James,Boston,MA,2116,Eating & Drinking w/ Take Out,"(42.35091, -71.07152)",16174511561
110,Back Deck,10 West,Boston,MA,2111,Eating & Drinking,"(42.354426, -71.062191)",16174261266
111,BACKWOODS PIZZA,539 Dudley,Roxbury,MA,2119,Eating & Drinking w/ Take Out,"(42.321739, -71.072511)",16174457400
112,Bailey & Sage,103 State,Boston,MA,2109,Eating & Drinking w/ Take Out,"(42.35896, -71.05512)",10000000000
113,Bain Capital (40th Fl),200 Clarendon,Boston,MA,2116,Eating & Drinking,"(42.34921, -71.07513)",16175162000
114,BANGKOK BISTRO,433 Washington,Brighton,MA,2135,Eating & Drinking w/ Take Out,"(42.349345, -71.156794)",16177109104
115,Basho Express,685 Commonwealth,Boston,MA,2215,Eating & Drinking w/ Take Out,"(42.350149, -71.104511)",16172307017
116,Charlie's,429 Columbus,Boston,MA,2116,Eating & Drinking,"(42.34413, -71.07777)",16172477747
117,Mc Goo's Pizza,479 Broadway,South Boston,MA,2127,Eating & Drinking,"(42.33546, -71.04601)",18572614311
118,Kneeland Cafe,75 Kneeland,Boston,MA,2111,Eating & Drinking,"(42.350178, -71.06061)",16179099971
119,ELEMENT SEAPORT HOTEL BOSTON,391 D,Boston,MA,2210,Eating & Drinking,"(42.342989, -71.045087)",16175324820
120,MRS. B'S CAFE,20 Channel Center,Boston,MA,2127,Eating & Drinking w/ Take Out,"(42.3457, -71.05182)",16177835500
121,Bani Restaurant,4541 Washington,Roslindale,MA,2131,Eating & Drinking,"(42.278345, -71.137197)",16174690294
122,Bar Louie,121 Brookline,Boston,MA,2215,Eating & Drinking,"(42.34575, -71.10049)",12148454800
123,Bar Medallo,411 Chelsea,East Boston,MA,2128,Eating & Drinking,"(42.379899, -71.026814)",16175672727
124,BARNEY'S GRILL,299 Havre,East Boston,MA,2128,Eating & Drinking,"(42.376526, -71.033798)",16175677170
125,Barracuda Tavern,53 Bromfield,Boston,MA,2108,Eating & Drinking,"(42.35702, -71.06069)",16174820301
126,Barrington Coffee,346 Congress,Boston,MA,2210,Eating & Drinking w/ Take Out,"(42.350637, -71.048443)",10000000000
127,BARRY'S BOOTCAMP,38 Chauncy,Boston,MA,2111,Eating & Drinking,"(42.3538, -71.05977)",10000000000
128,Bartlett Square Cafe,154 Green,Jamaica Plain,MA,2130,Eating & Drinking,"(42.31043, -71.106539)",10000000000
129,Basho Japanese Brasserie,1341 Boylston,Boston,MA,2215,Eating & Drinking,"(42.34442, -71.09961)",16178598886
130,Basho Japanese Sushi@B.U.(G.S.U.),775 Commonwealth,Boston,MA,2215,Eating & Drinking w/ Take Out,"(42.350873, -71.108963)",16172621338
131,Battery Park Restaurant & Lounge,31 Batterymarch,Boston,MA,2109,Eating & Drinking,"(42.357376, -71.054403)",16173507275
132,Beacon Hill Pub,149 Charles,Boston,MA,2114,Eating & Drinking,"(42.360479, -71.070569)",16175231895
133,Bean & Leaf Cafe,20 Custom House,Boston,MA,2111,Eating & Drinking w/ Take Out,"(42.358135, -71.053058)",15089420923
134,Bean and Cream Co.,676 Truman,Hyde Park,MA,2136,Eating & Drinking w/ Take Out,"(42.252129, -71.118362)",10000000000
135,BEANTOWN BURRITO,400 Longwood,Boston,MA,2215,Eating & Drinking w/ Take Out,"(42.340338, -71.109399)",17813567770
136,Beantown Hoagie,102 Water,Boston,MA,2109,Eating & Drinking w/ Take Out,"(42.35806, -71.055079)",17817340300
137,Beantown Pub,100 Tremont,Boston,MA,2108,Eating & Drinking w/ Take Out,"(42.357232, -71.060979)",16174260111
138,Bell In Hand,45 Union,Boston,MA,2108,Eating & Drinking,"(42.3616, -71.05706)",16172272098
139,Hissho Sushi @ UMass Boston,100 William T Morrissey,Dorchester,MA,2125,Eating & Drinking,"(42.313144, -71.038947)",16172876000
140,Bella Luna Restaurant @ the Brewery,284 Amory,Jamaica Plain,MA,2130,Eating & Drinking,"(42.314637, -71.104489)",16175243740
141,Bella Vista,288 Hanover,Boston,MA,2113,Eating & Drinking,"(42.36402, -71.0545)",10000000000
142,Ben & Jerry's,174 Newbury,Boston,MA,2116,Eating & Drinking w/ Take Out,"(42.35031, -71.079)",16175365456
143,Benevento's,111 Salem,Boston,MA,2113,Eating & Drinking,"(42.36427, -71.05536)",16175937735
144,BERKELEY PERK CAFE,69 Berkeley,Boston,MA,2116,Eating & Drinking w/ Take Out,"(42.34678, -71.07061)",16174260673
145,BERKELEY RESIDENCE YWCA,40 Berkeley,Boston,MA,2116,Eating & Drinking,"(42.34594, -71.0709)",16173752542
146,BERTUCCI'S BRICK OVEN PIZZA,22 Merchants,Boston,MA,2109,Eating & Drinking,"(42.359407, -71.055821)",15083512577
147,Beth Isreal Deaconess,330 Brookline,Boston,MA,2115,Eating & Drinking,"(42.33982, -71.10568)",10000000000
148,Bibim Restaurant,166 Harvard,Allston,MA,2134,Eating & Drinking,"(42.351497, -71.131379)",16177875656
149,Biddy Earlys,141 Pearl,Boston,MA,2110,Eating & Drinking,"(42.35464, -71.05374)",16176549944
150,Big Bites,10 Walk Hill,Jamaica Plain,MA,2130,Eating & Drinking,"(42.29585, -71.115739)",16174421402
151,Bijou Night Club,51 Stuart,Boston,MA,2116,Eating & Drinking,"(42.351234, -71.064128)",16177924407
152,Billares Colombia,16 Bennington,East Boston,MA,2128,Eating & Drinking,"(42.37529, -71.0383)",16175695740
153,BILLY TSE RESTAURANT,240 Commercial,Boston,MA,2109,Eating & Drinking,"(42.36385, -71.05146)",16179665334
154,Billy's Sub Shop,57 Berkeley,Boston,MA,2116,Eating & Drinking w/ Take Out,"(42.34659, -71.07051)",16174261822
155,BILLY'S TEXAS B.B.Q.,530 Washington,Dorchester,MA,2124,Eating & Drinking,"(42.29298, -71.07162)",16172886161
156,Bin 26 Enoteca,26 Charles,Boston,MA,2114,Eating & Drinking,"(42.356745, -71.069988)",16175122550
157,BIRCH STREET BISTRO,14 Birch,West Roxbury,MA,2132,Eating & Drinking,"(42.26346, -71.15857)",16179225666
158,BISHOP'S MEDITERRANEAN,70 Staniford,Boston,MA,2114,Eating & Drinking w/ Take Out,"(42.362733, -71.06423)",16177423300
159,Bistro du Midi,272 Boylston,Boston,MA,2116,Eating & Drinking,"(42.351859, -71.069669)",16174267878
160,BK's Pub,4272 Washington,Roslindale,MA,2131,Eating & Drinking,"(42.285083, -71.129349)",16173250928
161,Black Rose,160 State,Boston,MA,2109,Eating & Drinking,"(42.35944, -71.05379)",16177422286
162,Black Seeds,131 Tremont,Boston,MA,2111,Eating & Drinking,"(42.356002, -71.062138)",16173380024
163,BLACKSTONE GRILL,1 Union,Boston,MA,2109,Eating & Drinking,"(42.36066, -71.056626)",16179826171
164,BLASI'S CAFE,756 Adams,Dorchester,MA,2122,Eating & Drinking w/ Take Out,"(42.28373, -71.05536)",16178254566
165,Bleacher Bar,70 Lansdowne,Boston,MA,2215,Eating & Drinking,"(42.347051, -71.098327)",16172622424
166,Blue Asia Cafe,101 Brighton,Allston,MA,2134,Eating & Drinking,"(42.353081, -71.130624)",17812673366
167,Blue Dragon,324 A,Boston,MA,2210,Eating & Drinking,"(42.349391, -71.049735)",16172626620
168,Blue Hill Pizza,161 Blue Hill,Roxbury,MA,2119,Eating & Drinking w/ Take Out,"(42.31931, -71.07795)",16174450044
169,BLUE STAR RESTAURANT,11 Corinth,Roslindale,MA,2131,Eating & Drinking,"(42.28641, -71.13043)",16173239638
170,Blue State Coffee,155 Seaport,Boston,MA,2210,Eating & Drinking w/ Take Out,"(42.34968, -71.04281)",18608820028
171,Blue State Coffee@957 Comm. Ave. Boston,957 Commonwealth,Boston,MA,2215,Eating & Drinking,"(42.35191, -71.11889)",18776262583
172,BOCA GRANDE RESTAURANT,366 Washington,Brighton,MA,2135,Eating & Drinking,"(42.34896, -71.153749)",10000000000
173,Clover,27 School,Boston,MA,2108,Eating & Drinking,"(42.357719, -71.05907)",18585316392
174,SOUPER BOWL,1 Brighton,Allston,MA,2134,Eating & Drinking w/ Take Out,"(42.3524, -71.12533)",16177503243
175,Boloco,133 Federal,Boston,MA,2110,Eating & Drinking w/ Take Out,"(42.35426, -71.0566)",16172662200
176,Boloco,48 Congress,Boston,MA,2109,Eating & Drinking w/ Take Out,"(42.35798, -71.05599)",16172662200
177,Boloco,569 Boylston,Boston,MA,2116,Eating & Drinking w/ Take Out,"(42.35064, -71.07645)",10000000000
178,Boloco - Berklee,1080 Boylston,Boston,MA,2215,Eating & Drinking w/ Take Out,"(42.346952, -71.088046)",16172662200
179,Boloco Inspired Burritos,2 Park,Boston,MA,2116,Eating & Drinking w/ Take Out,"(42.352269, -71.067108)",16172662200
180,BON APPETIT RESTAURANT,1138 Blue Hill,Dorchester,MA,2124,Eating & Drinking w/ Take Out,"(42.285777, -71.09125)",16178255544
181,Bonapita,51 Franklin,Boston,MA,2110,Eating & Drinking w/ Take Out,"(42.35537, -71.05877)",14014515538
182,Bonchon Allston,101 Brighton,Allston,MA,2134,Eating & Drinking,"(42.353081, -71.130624)",16172548888
183,Bonne Chance Cafe,77 Canal,Boston,MA,2114,Eating & Drinking,"(42.364196, -71.059521)",16177423115
184,Borinquen Bakery & Cafe,112 Stoughton,Dorchester,MA,2124,Eating & Drinking,"(42.315468, -71.061268)",16172822500
185,BOSTON BACK BAY HILTON,40 Dalton,Boston,MA,2115,Eating & Drinking,"(42.34645, -71.08526)",16172361100
186,BOSTON BEER GARDEN,732 Broadway,South Boston,MA,2127,Eating & Drinking,"(42.335867, -71.036051)",16172680042
187,Boston Beer Works,61 Brookline,Boston,MA,2215,Eating & Drinking,"(42.347163, -71.099081)",16178962300
188,Bangkok Pinto,1041 Tremont,Mission Hill,MA,2120,Eating & Drinking w/ Take Out,"(42.336599, -71.085748)",16174425555
189,NICOLE'S PIZZA,639 Tremont,Roxbury,MA,2118,Eating & Drinking w/ Take Out,"(42.34233, -71.07514)",16172669190
190,Sweet Kingdom,15 Beach,Boston,MA,2111,Eating & Drinking w/ Take Out,"(42.351365, -71.062281)",16178165623
191,The Bostonian Boston - A Millennium Hotel,20 North,Boston,MA,2109,Eating & Drinking,"(42.360691, -71.056346)",16175233600
192,Stop & Shop Supermarket,1622 Tremont,Mission Hill,MA,2120,Eating & Drinking w/ Take Out,"(42.333796, -71.104562)",10000000000
193,La Sanghita Cafe,389 Maverick,East Boston,MA,2128,Eating & Drinking w/ Take Out,"(42.3657, -71.02905)",16172301983
194,Appollo Sushi & Grill,86 Harrison,Boston,MA,2111,Eating & Drinking,"(42.35073, -71.06124)",16179590888
195,Wingz Xpress,563 Washington,Brighton,MA,2135,Eating & Drinking w/ Take Out,"(42.349979, -71.164428)",16173351286
196,UNI,370 Commonwealth,Boston,MA,2215,Eating & Drinking,"(42.34859, -71.08869)",16179695080
197,Boston Burger,1100 Boylston,Boston,MA,2215,Eating & Drinking,"(42.346842, -71.088506)",16175158752
198,BOSTON COLLEGE CLUB,100 Federal,Boston,MA,2110,Eating & Drinking,"(42.35477, -71.05613)",10005238188
199,Boston Common Coffee Co.,10 High,Boston,MA,2110,Eating & Drinking w/ Take Out,"(42.353511, -71.056728)",15083977896
200,Boston Common Coffee Co.,10 West,Boston,MA,2111,Eating & Drinking w/ Take Out,"(42.35443, -71.06218)",16176959700
201,Boston Common Hotel & Conference Center,40 Trinity,Boston,MA,2116,Eating & Drinking,"(42.348329, -71.075011)",16179337700
202,Boston Eagle,520 Tremont,Roxbury,MA,2116,Eating & Drinking,"(42.34468, -71.06998)",16175424494
203,Boston Globe Cafeteria,135 William T Morrissey,Dorchester,MA,2125,Eating & Drinking,"(42.315997, -71.049211)",16175174260
204,Boston Globe Kiosk # 2,135 William T Morrissey,Dorchester,MA,2125,Eating & Drinking w/ Take Out,"(42.315997, -71.049211)",16179922274
205,Boston Kebab House,44 Kilby,Boston,MA,2109,Eating & Drinking,"(42.358114, -71.055317)",16172276900
206,Boston Kitchen Pizza,707 Washington,Boston,MA,2111,Eating & Drinking,"(42.35107, -71.06308)",16174820085
207,Boston Living Center,29 Stanhope,Boston,MA,2116,Eating & Drinking,"(42.348579, -71.07304)",16172361012
208,BOSTON MARKET,1010 William T Morrissey,Dorchester,MA,2122,Eating & Drinking w/ Take Out,"(42.290076, -71.044879)",13032789500
209,Boston Marriott Long Wharf - FS,296 State,Boston,MA,2109,Eating & Drinking,"(42.36012, -71.05091)",16172270800
210,Boston Marriott Longwharf,296 State,Boston,MA,2109,Eating & Drinking,"(42.36012, -71.05091)",16172270800
211,Boston News Cafe,28 State,Boston,MA,2109,Eating & Drinking,"(42.35933, -71.05745)",16173067954
212,Boston News Cafe (90 Arch St.),90 Arch,Boston,MA,2110,Eating & Drinking w/ Take Out,"(42.354732, -71.058368)",16173067954
213,Boston Opera House,539 Washington,Boston,MA,2111,Eating & Drinking w/ Take Out,"(42.353999, -71.06237)",16172610065
214,Boston Park Plaza (Main Kitchen/Room Serv.),50 Park,Boston,MA,2116,Eating & Drinking,"(42.351297, -71.069204)",16174262000
215,Boston Park Plaza Employee Cafeteria(3rdFl),50 Park,Boston,MA,2116,Eating & Drinking,"(42.351297, -71.069204)",16174262000
216,BOSTON SAIL LOFT,80 Atlantic,Boston,MA,2110,Eating & Drinking,"(42.362516, -71.050719)",16172277280
217,Bostonia Public House,131 State,Boston,MA,2109,Eating & Drinking,"(42.358974, -71.054235)",18572103912
218,BOURBON ST. CAFE,417 Washington,Boston,MA,2108,Eating & Drinking w/ Take Out,"(42.35583, -71.0604)",10004518032
219,Bourbon Street Cafe,350 Longwood,Boston,MA,2215,Eating & Drinking w/ Take Out,"(42.339072, -71.108098)",16175665204
220,Brannellys Cafe,4432 Washington,Roslindale,MA,2131,Eating & Drinking,"(42.280325, -71.134458)",16173236700
221,Brendan Behan Pub,378 Centre,Jamaica Plain,MA,2130,Eating & Drinking,"(42.32199, -71.10926)",16176978964
222,BRICCO Restaurant/Bakery,239 Hanover,Boston,MA,2113,Eating & Drinking,"(42.363081, -71.054948)",16178809919
223,Brighton Music Hall,156 Brighton,Allston,MA,2134,Eating & Drinking,"(42.352845, -71.132559)",16177780089
